Reference area,Measure.1,Sex.1,TIME_PERIOD,OBS_VALUE
Croatia,Share of population who are obese,Male,1982,8.9
Croatia,Share of population who are obese,Male,1983,9.3
Croatia,Share of population who are obese,Male,1984,9.7
Croatia,Share of population who are obese,Male,1985,10.2
Croatia,Share of population who are obese,Male,1986,10.6
Croatia,Share of population who are obese,Male,1987,11
Croatia,Share of population who are obese,Male,1988,11.4
Croatia,Share of population who are obese,Male,1989,11.8
Croatia,Share of population who are obese,Male,1990,12.3
Croatia,Share of population who are obese,Male,1991,12.7
Croatia,Share of population who are obese,Male,1992,13.1
Croatia,Share of population who are obese,Male,1993,13.6
Croatia,Share of population who are obese,Male,1994,14
Croatia,Share of population who are obese,Male,1995,14.4
Croatia,Share of population who are obese,Male,1996,14.9
Croatia,Share of population who are obese,Male,1997,15.3
Croatia,Share of population who are obese,Male,1998,15.8
Croatia,Share of population who are obese,Male,1999,16.2
Croatia,Share of population who are obese,Male,2000,16.7
Croatia,Share of population who are obese,Male,2001,17.2
Croatia,Share of population who are obese,Male,2002,17.7
Croatia,Share of population who are obese,Male,2003,18.2
Croatia,Share of population who are obese,Male,2004,18.7
Croatia,Share of population who are obese,Male,2005,19.2
Croatia,Share of population who are obese,Male,2006,19.8
Croatia,Share of population who are obese,Male,2007,20.3
Croatia,Share of population who are obese,Male,2008,20.9
Croatia,Share of population who are obese,Male,2009,21.5
Croatia,Share of population who are obese,Male,2010,22.1
Croatia,Share of population who are obese,Male,2011,22.7
Croatia,Share of population who are obese,Male,2012,23.4
Croatia,Share of population who are obese,Male,2013,24
Croatia,Share of population who are obese,Male,2014,24.6
Croatia,Share of population who are obese,Male,2015,25.3
Croatia,Share of population who are obese,Male,2016,26
Croatia,Share of population who are obese,Female,1975,12.3
Croatia,Share of population who are obese,Female,1976,12.7
Croatia,Share of population who are obese,Female,1977,13.1
Croatia,Share of population who are obese,Female,1978,13.6
Croatia,Share of population who are obese,Female,1979,14
Croatia,Share of population who are obese,Female,1980,14.5
Croatia,Share of population who are obese,Female,1981,14.9
Croatia,Share of population who are obese,Female,1982,15.4
Croatia,Share of population who are obese,Female,1983,15.8
Croatia,Share of population who are obese,Female,1984,16.2
Croatia,Share of population who are obese,Female,1985,16.6
Croatia,Share of population who are obese,Female,1986,16.9
Croatia,Share of population who are obese,Female,1987,17.3
Croatia,Share of population who are obese,Female,1988,17.6
Croatia,Share of population who are obese,Female,1989,18
Croatia,Share of population who are obese,Female,1990,18.3
Croatia,Share of population who are obese,Female,1991,18.6
Croatia,Share of population who are obese,Female,1992,19
Croatia,Share of population who are obese,Female,1993,19.3
Croatia,Share of population who are obese,Female,1994,19.6
Croatia,Share of population who are obese,Female,1995,19.9
Croatia,Share of population who are obese,Female,1996,20.2
Croatia,Share of population who are obese,Female,1997,20.5
Croatia,Share of population who are obese,Female,1998,20.8
Croatia,Share of population who are obese,Female,1999,21.2
Croatia,Share of population who are obese,Female,2000,21.5
Croatia,Share of population who are obese,Female,2001,21.8
Croatia,Share of population who are obese,Female,2002,22.1
Croatia,Share of population who are obese,Female,2003,22.5
Croatia,Share of population who are obese,Female,2004,22.8
Croatia,Share of population who are obese,Female,2005,23.2
Croatia,Share of population who are obese,Female,2006,23.6
Croatia,Share of population who are obese,Female,2007,24
Croatia,Share of population who are obese,Female,2008,24.5
Croatia,Share of population who are obese,Female,2009,24.9
Croatia,Share of population who are obese,Female,2010,25.4
Croatia,Share of population who are obese,Female,2011,25.8
Croatia,Share of population who are obese,Female,2012,26.3
Croatia,Share of population who are obese,Female,2013,26.7
Croatia,Share of population who are obese,Female,2014,27.2
Croatia,Share of population who are obese,Female,2015,27.7
Croatia,Share of population who are obese,Female,2016,28.2
Croatia,Share of population who are obese,Male,2014,20.1
Croatia,Share of population who are obese,Male,2019,23.3
Croatia,Share of population who are overweight,Female,2014,30.6
Croatia,Share of population who are overweight,Female,2019,35.4
Croatia,Share of population who are overweight or obese,Total,2014,55.8
Croatia,Share of population who are overweight or obese,Total,2019,63.8
Croatia,Share of population who are obese,Total,2014,18
Croatia,Share of population who are obese,Total,2019,22.6
Croatia,Share of population who are obese,Female,2014,16.2
Croatia,Share of population who are obese,Female,2019,22.2
Croatia,Share of population who are overweight,Total,2014,37.8
Croatia,Share of population who are overweight,Total,2019,41.2
Croatia,Share of population who are obese,Total,1975,9.4
Croatia,Share of population who are obese,Total,1976,9.8
Croatia,Share of population who are obese,Total,1977,10.2
Croatia,Share of population who are obese,Total,1978,10.6
Croatia,Share of population who are obese,Total,1979,11
Croatia,Share of population who are obese,Total,1980,11.5
Croatia,Share of population who are obese,Total,1981,11.9
Croatia,Share of population who are obese,Total,1982,12.3
Croatia,Share of population who are obese,Total,1983,12.8
Croatia,Share of population who are obese,Total,1984,13.2
Croatia,Share of population who are obese,Total,1985,13.6
Croatia,Share of population who are obese,Total,1986,13.9
Croatia,Share of population who are obese,Total,1987,14.3
Croatia,Share of population who are obese,Total,1988,14.7
Croatia,Share of population who are obese,Total,1989,15.1
Croatia,Share of population who are obese,Total,1990,15.4
Croatia,Share of population who are obese,Total,1991,15.8
Croatia,Share of population who are obese,Total,1992,16.2
Croatia,Share of population who are obese,Total,1993,16.6
Croatia,Share of population who are obese,Total,1994,16.9
Croatia,Share of population who are obese,Total,1995,17.3
Croatia,Share of population who are obese,Total,1996,17.7
Croatia,Share of population who are obese,Total,1997,18.1
Croatia,Share of population who are obese,Total,1998,18.4
Croatia,Share of population who are obese,Total,1999,18.8
Croatia,Share of population who are obese,Total,2000,19.2
Croatia,Share of population who are obese,Total,2001,19.6
Croatia,Share of population who are obese,Total,2002,20
Croatia,Share of population who are obese,Total,2003,20.4
Croatia,Share of population who are obese,Total,2004,20.9
Croatia,Share of population who are obese,Total,2005,21.3
Croatia,Share of population who are obese,Total,2006,21.8
Croatia,Share of population who are obese,Total,2007,22.3
Croatia,Share of population who are obese,Total,2008,22.8
Croatia,Share of population who are obese,Total,2009,23.3
Croatia,Share of population who are obese,Total,2010,23.8
Croatia,Share of population who are obese,Total,2011,24.4
Croatia,Share of population who are obese,Total,2012,24.9
Croatia,Share of population who are obese,Total,2013,25.4
Croatia,Share of population who are obese,Total,2014,26
Croatia,Share of population who are obese,Total,2015,26.5
Croatia,Share of population who are obese,Total,2016,27.1
Croatia,Share of population who are overweight or obese,Male,2014,65.9
Croatia,Share of population who are overweight or obese,Male,2019,72
Czechia,Share of population who are overweight or obese,Female,2000,42
Czechia,Share of population who are overweight or obese,Female,2005,46
Czechia,Share of population who are overweight or obese,Female,2008,49
Czechia,Share of population who are overweight or obese,Female,2010,49
Czechia,Share of population who are overweight or obese,Female,1993,40.5
Czechia,Share of population who are overweight or obese,Female,1996,41.4
Czechia,Share of population who are overweight or obese,Female,1999,43.9
Czechia,Share of population who are overweight or obese,Female,2002,46.7
Czechia,Share of population who are overweight or obese,Female,2008,47.2
Czechia,Share of population who are overweight or obese,Female,2014,48.2
Czechia,Share of population who are overweight or obese,Female,2019,49.3
Czechia,Share of population who are overweight,Male,2000,35
Czechia,Share of population who are overweight,Male,2005,42
Czechia,Share of population who are overweight,Male,2008,41
Czechia,Share of population who are overweight,Male,2010,40
Czechia,Share of population who are obese,Male,2000,14
Czechia,Share of population who are obese,Male,2005,18
Czechia,Share of population who are obese,Male,2008,23
Czechia,Share of population who are obese,Male,2010,21
Czechia,Share of population who are overweight,Female,1993,28.3
Czechia,Share of population who are overweight,Female,1996,29.3
Czechia,Share of population who are overweight,Female,1999,30.4
Czechia,Share of population who are overweight,Female,2002,30.7
Czechia,Share of population who are overweight,Female,2008,28.9
Czechia,Share of population who are overweight,Female,2014,30
Czechia,Share of population who are overweight,Female,2019,31.8
Czechia,Share of population who are obese,Female,2000,15
Czechia,Share of population who are obese,Female,2005,17
Czechia,Share of population who are obese,Female,2008,21
Czechia,Share of population who are obese,Female,2010,21
Czechia,Share of population who are overweight or obese,Male,2000,49
Czechia,Share of population who are overweight or obese,Male,2005,60
Czechia,Share of population who are overweight or obese,Male,2008,64
Czechia,Share of population who are overweight or obese,Male,2010,61
Czechia,Share of population who are obese,Male,1993,10.4
Czechia,Share of population who are obese,Male,1996,10.4
Czechia,Share of population who are obese,Male,1999,15
Czechia,Share of population who are obese,Male,2002,13.4
Czechia,Share of population who are obese,Male,2008,18.4
Czechia,Share of population who are obese,Male,2014,19.3
Czechia,Share of population who are obese,Male,2019,21.2
Czechia,Share of population who are overweight,Female,2000,27
Czechia,Share of population who are overweight,Female,2005,29
Czechia,Share of population who are overweight,Female,2008,28
Czechia,Share of population who are overweight,Female,2010,28
Czechia,Share of population who are obese,Total,2000,14
Czechia,Share of population who are obese,Total,2005,17
Czechia,Share of population who are obese,Total,2008,22
Czechia,Share of population who are obese,Total,2010,21
Czechia,Share of population who are overweight or obese,Male,1993,54.5
Czechia,Share of population who are overweight or obese,Male,1996,50.7
Czechia,Share of population who are overweight or obese,Male,1999,56.9
Czechia,Share of population who are overweight or obese,Male,2002,55.9
Czechia,Share of population who are overweight or obese,Male,2008,63.6
Czechia,Share of population who are overweight or obese,Male,2014,63.2
Czechia,Share of population who are overweight or obese,Male,2019,68.1
Czechia,Share of population who are overweight,Total,1993,35.8
Czechia,Share of population who are overweight,Total,1996,34.5
Czechia,Share of population who are overweight,Total,1999,36
Czechia,Share of population who are overweight,Total,2002,36.2
Czechia,Share of population who are overweight,Total,2008,36.8
Czechia,Share of population who are overweight,Total,2014,36.7
Czechia,Share of population who are overweight,Total,2019,39.1
Czechia,Share of population who are overweight,Total,2000,31
Czechia,Share of population who are overweight,Total,2005,35
Czechia,Share of population who are overweight,Total,2008,34
Czechia,Share of population who are overweight,Total,2010,34
Czechia,Share of population who are overweight or obese,Total,1993,47.1
Czechia,Share of population who are overweight or obese,Total,1996,45.8
Czechia,Share of population who are overweight or obese,Total,1999,50.2
Czechia,Share of population who are overweight or obese,Total,2002,51.1
Czechia,Share of population who are overweight or obese,Total,2008,55.1
Czechia,Share of population who are overweight or obese,Total,2014,55.4
Czechia,Share of population who are overweight or obese,Total,2019,58.4
Czechia,Share of population who are overweight or obese,Total,2000,45
Czechia,Share of population who are overweight or obese,Total,2005,52
Czechia,Share of population who are overweight or obese,Total,2008,56
Czechia,Share of population who are overweight or obese,Total,2010,55
Czechia,Share of population who are obese,Total,1993,11.3
Czechia,Share of population who are obese,Total,1996,11.3
Czechia,Share of population who are obese,Total,1999,14.2
Czechia,Share of population who are obese,Total,2002,14.8
Czechia,Share of population who are obese,Total,2008,18.3
Czechia,Share of population who are obese,Total,2014,18.7
Czechia,Share of population who are obese,Total,2019,19.3
Czechia,Share of population who are obese,Female,1993,12.2
Czechia,Share of population who are obese,Female,1996,12.1
Czechia,Share of population who are obese,Female,1999,13.5
Czechia,Share of population who are obese,Female,2002,16.1
Czechia,Share of population who are obese,Female,2008,18.3
Czechia,Share of population who are obese,Female,2014,18.2
Czechia,Share of population who are obese,Female,2019,17.5
Czechia,Share of population who are overweight,Male,1993,44.1
Czechia,Share of population who are overweight,Male,1996,40.3
Czechia,Share of population who are overweight,Male,1999,41.9
Czechia,Share of population who are overweight,Male,2002,42.5
Czechia,Share of population who are overweight,Male,2008,45.2
Czechia,Share of population who are overweight,Male,2014,43.9
Czechia,Share of population who are overweight,Male,2019,46.8
Denmark,Share of population who are overweight,Female,2000,24.9
Denmark,Share of population who are overweight,Female,2005,26.4
Denmark,Share of population who are overweight,Female,2010,26.3
Denmark,Share of population who are overweight,Female,2013,26.7
Denmark,Share of population who are overweight,Female,2017,27.8
Denmark,Share of population who are overweight,Female,2021,27.8
Denmark,Share of population who are overweight or obese,Total,2000,41.7
Denmark,Share of population who are overweight or obese,Total,2005,44.6
Denmark,Share of population who are overweight or obese,Total,2010,46.7
Denmark,Share of population who are overweight or obese,Total,2013,47.4
Denmark,Share of population who are overweight or obese,Total,2017,51
Denmark,Share of population who are overweight or obese,Total,2021,52.6
Denmark,Share of population who are overweight or obese,Female,2000,34
Denmark,Share of population who are overweight or obese,Female,2005,38.2
Denmark,Share of population who are overweight or obese,Female,2010,39.4
Denmark,Share of population who are overweight or obese,Female,2013,40.7
Denmark,Share of population who are overweight or obese,Female,2017,44.4
Denmark,Share of population who are overweight or obese,Female,2021,46.2
Denmark,Share of population who are overweight,Total,2000,32.3
Denmark,Share of population who are overweight,Total,2005,33.2
Denmark,Share of population who are overweight,Total,2010,33.3
Denmark,Share of population who are overweight,Total,2013,33.3
Denmark,Share of population who are overweight,Total,2017,34.2
Denmark,Share of population who are overweight,Total,2021,34.1
Denmark,Share of population who are overweight or obese,Male,2000,49.6
Denmark,Share of population who are overweight or obese,Male,2005,51.9
Denmark,Share of population who are overweight or obese,Male,2010,54.3
Denmark,Share of population who are overweight or obese,Male,2013,54.3
Denmark,Share of population who are overweight or obese,Male,2017,57.7
Denmark,Share of population who are overweight or obese,Male,2021,59.1
Denmark,Share of population who are obese,Male,1994,8.2
Denmark,Share of population who are obese,Male,2000,9.8
Denmark,Share of population who are obese,Male,2005,11
Denmark,Share of population who are obese,Male,2010,13.7
Denmark,Share of population who are obese,Male,2013,14.3
Denmark,Share of population who are obese,Male,2014,14.1
Denmark,Share of population who are obese,Male,2017,17.1
Denmark,Share of population who are obese,Male,2021,18.6
Denmark,Share of population who are overweight,Male,2000,39.8
Denmark,Share of population who are overweight,Male,2005,40.9
Denmark,Share of population who are overweight,Male,2010,40.5
Denmark,Share of population who are overweight,Male,2013,40
Denmark,Share of population who are overweight,Male,2017,40.6
Denmark,Share of population who are overweight,Male,2021,40.5
Denmark,Share of population who are obese,Total,1987,5.5
Denmark,Share of population who are obese,Total,1994,7.6
Denmark,Share of population who are obese,Total,2000,9.5
Denmark,Share of population who are obese,Total,2005,11.4
Denmark,Share of population who are obese,Total,2010,13.4
Denmark,Share of population who are obese,Total,2013,14.2
Denmark,Share of population who are obese,Total,2014,14.9
Denmark,Share of population who are obese,Total,2017,16.8
Denmark,Share of population who are obese,Total,2021,18.5
Denmark,Share of population who are obese,Female,1994,7
Denmark,Share of population who are obese,Female,2000,9.1
Denmark,Share of population who are obese,Female,2005,11.8
Denmark,Share of population who are obese,Female,2010,13.1
Denmark,Share of population who are obese,Female,2013,14
Denmark,Share of population who are obese,Female,2014,15.6
Denmark,Share of population who are obese,Female,2017,16.6
Denmark,Share of population who are obese,Female,2021,18.3
Estonia,Share of population who are overweight or obese,Total,1990,57.6
Estonia,Share of population who are overweight or obese,Total,1992,41.9
Estonia,Share of population who are overweight or obese,Total,1994,43.9
Estonia,Share of population who are overweight or obese,Total,1996,41.4
Estonia,Share of population who are overweight or obese,Total,1998,40.8
Estonia,Share of population who are overweight or obese,Total,2000,41.9
Estonia,Share of population who are overweight or obese,Total,2002,42.6
Estonia,Share of population who are overweight or obese,Total,2004,43.2
Estonia,Share of population who are overweight or obese,Total,2006,46.5
Estonia,Share of population who are overweight or obese,Total,2008,49.6
Estonia,Share of population who are overweight or obese,Total,2010,48.6
Estonia,Share of population who are overweight or obese,Total,2012,48.9
Estonia,Share of population who are overweight or obese,Total,2014,52
Estonia,Share of population who are overweight or obese,Total,2016,51.7
Estonia,Share of population who are overweight or obese,Total,2018,50.7
Estonia,Share of population who are overweight or obese,Total,2020,51.6
Estonia,Share of population who are overweight or obese,Total,2022,52.7
Estonia,Share of population who are obese,Total,1990,19.4
Estonia,Share of population who are obese,Total,1992,12.6
Estonia,Share of population who are obese,Total,1994,11.5
Estonia,Share of population who are obese,Total,1996,11.8
Estonia,Share of population who are obese,Total,1998,13.6
Estonia,Share of population who are obese,Total,2000,14.1
Estonia,Share of population who are obese,Total,2002,13.7
Estonia,Share of population who are obese,Total,2004,14.5
Estonia,Share of population who are obese,Total,2006,15.9
Estonia,Share of population who are obese,Total,2008,18
Estonia,Share of population who are obese,Total,2010,16.9
Estonia,Share of population who are obese,Total,2012,19
Estonia,Share of population who are obese,Total,2014,19.5
Estonia,Share of population who are obese,Total,2016,19.2
Estonia,Share of population who are obese,Total,2018,19.1
Estonia,Share of population who are obese,Total,2020,20.5
Estonia,Share of population who are obese,Total,2022,21
Estonia,Share of population who are overweight,Female,2014,26.4
Estonia,Share of population who are overweight,Total,2014,33.3
Estonia,Share of population who are overweight,Female,1990,35.7
Estonia,Share of population who are overweight,Female,1992,24.9
Estonia,Share of population who are overweight,Female,1994,29.7
Estonia,Share of population who are overweight,Female,1996,26.1
Estonia,Share of population who are overweight,Female,1998,24.2
Estonia,Share of population who are overweight,Female,2000,25.5
Estonia,Share of population who are overweight,Female,2002,26.1
Estonia,Share of population who are overweight,Female,2004,26.2
Estonia,Share of population who are overweight,Female,2006,26.1
Estonia,Share of population who are overweight,Female,2008,26.3
Estonia,Share of population who are overweight,Female,2010,28.4
Estonia,Share of population who are overweight,Female,2012,25.6
Estonia,Share of population who are overweight,Female,2014,28.2
Estonia,Share of population who are overweight,Female,2016,27.3
Estonia,Share of population who are overweight,Female,2018,26
Estonia,Share of population who are overweight,Female,2020,25.3
Estonia,Share of population who are overweight,Female,2022,26.7
Estonia,Share of population who are overweight or obese,Total,2014,51.3
Estonia,Share of population who are obese,Female,2014,18.5
Estonia,Share of population who are overweight,Total,1990,38.2
Estonia,Share of population who are overweight,Total,1992,29.3
Estonia,Share of population who are overweight,Total,1994,32.4
Estonia,Share of population who are overweight,Total,1996,29.6
Estonia,Share of population who are overweight,Total,1998,27.2
Estonia,Share of population who are overweight,Total,2000,27.8
Estonia,Share of population who are overweight,Total,2002,28.9
Estonia,Share of population who are overweight,Total,2004,28.7
Estonia,Share of population who are overweight,Total,2006,30.6
Estonia,Share of population who are overweight,Total,2008,31.6
Estonia,Share of population who are overweight,Total,2010,31.7
Estonia,Share of population who are overweight,Total,2012,29.9
Estonia,Share of population who are overweight,Total,2014,32.5
Estonia,Share of population who are overweight,Total,2016,32.5
Estonia,Share of population who are overweight,Total,2018,31.6
Estonia,Share of population who are overweight,Total,2020,31.1
Estonia,Share of population who are overweight,Total,2022,31.7
Estonia,Share of population who are obese,Total,2014,18
Estonia,Share of population who are overweight,Male,2014,40.7
Estonia,Share of population who are overweight or obese,Male,1990,57.6
Estonia,Share of population who are overweight or obese,Male,1992,44.8
Estonia,Share of population who are overweight or obese,Male,1994,43.1
Estonia,Share of population who are overweight or obese,Male,1996,42.6
Estonia,Share of population who are overweight or obese,Male,1998,43.1
Estonia,Share of population who are overweight or obese,Male,2000,43.3
Estonia,Share of population who are overweight or obese,Male,2002,45.4
Estonia,Share of population who are overweight or obese,Male,2004,45.9
Estonia,Share of population who are overweight or obese,Male,2006,52.2
Estonia,Share of population who are overweight or obese,Male,2008,56.3
Estonia,Share of population who are overweight or obese,Male,2010,53.6
Estonia,Share of population who are overweight or obese,Male,2012,54.5
Estonia,Share of population who are overweight or obese,Male,2014,57.9
Estonia,Share of population who are overweight or obese,Male,2016,59.9
Estonia,Share of population who are overweight or obese,Male,2018,60.9
Estonia,Share of population who are overweight or obese,Male,2020,62.6
Estonia,Share of population who are overweight or obese,Male,2022,61
Estonia,Share of population who are overweight or obese,Male,2014,58.1
Estonia,Share of population who are obese,Male,2014,17.4
Estonia,Share of population who are obese,Male,1990,16
Estonia,Share of population who are obese,Male,1992,10.8
Estonia,Share of population who are obese,Male,1994,7.1
Estonia,Share of population who are obese,Male,1996,8.9
Estonia,Share of population who are obese,Male,1998,11.9
Estonia,Share of population who are obese,Male,2000,12.3
Estonia,Share of population who are obese,Male,2002,12.5
Estonia,Share of population who are obese,Male,2004,14
Estonia,Share of population who are obese,Male,2006,14.9
Estonia,Share of population who are obese,Male,2008,17.5
