STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,METHODOLOGY,Measurement method,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,USA,United States,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2007,,43,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,USA,United States,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2008,,42.4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,USA,United States,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2009,,42.9,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,USA,United States,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2010,,42,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,USA,United States,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2011,,41.4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,USA,United States,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2012,,42.4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,USA,United States,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2013,,41.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,USA,United States,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2014,,41.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,USA,United States,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2015,,39.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,USA,United States,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2016,,41.4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,USA,United States,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2017,,40.9,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,USA,United States,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2018,,40.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,USA,United States,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2019,,39.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,USA,United States,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2020,,39.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,USA,United States,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2021,,39.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PRT,Portugal,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,1996,,10.3,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PRT,Portugal,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,1999,,11.4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PRT,Portugal,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2006,,14.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PRT,Portugal,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2014,,15.1,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PRT,Portugal,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2017,,15.5,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PRT,Portugal,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2019,,16.4,,D,Definition differs,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PRT,Portugal,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2022,,16.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,SVK,Slovak Republic,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,F,Female,PT_POP,Percentage of population,SR,Self-reporting,2003,,40.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,SVK,Slovak Republic,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,F,Female,PT_POP,Percentage of population,SR,Self-reporting,2009,,43,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,SVK,Slovak Republic,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,F,Female,PT_POP,Percentage of population,SR,Self-reporting,2014,,46.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,SVK,Slovak Republic,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,F,Female,PT_POP,Percentage of population,SR,Self-reporting,2019,,49.3,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,HUN,Hungary,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1988,,36.9,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,HUN,Hungary,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,2009,,36.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,HUN,Hungary,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,2014,,36.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,HUN,Hungary,A,Annual,SP_OVRGHT,Share of population who are overweight,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,2019,,40.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,CZE,Czechia,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,F,Female,PT_POP,Percentage of population,MSRD,Measured,2000,,42,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,CZE,Czechia,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,F,Female,PT_POP,Percentage of population,MSRD,Measured,2005,,46,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,CZE,Czechia,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,F,Female,PT_POP,Percentage of population,MSRD,Measured,2008,,49,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,CZE,Czechia,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,F,Female,PT_POP,Percentage of population,MSRD,Measured,2010,,49,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,ISR,Israel,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,_T,Total,PT_POP,Percentage of population,MSRD,Measured,1999,,62.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,ISR,Israel,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,_T,Total,PT_POP,Percentage of population,MSRD,Measured,2015,,50.9,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,LVA,Latvia,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,1998,,39.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,LVA,Latvia,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2000,,41.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,LVA,Latvia,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2002,,39.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,LVA,Latvia,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2004,,42,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,LVA,Latvia,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2006,,44.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,LVA,Latvia,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2008,,51.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,LVA,Latvia,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2010,,44.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,LVA,Latvia,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2012,,52.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,LVA,Latvia,A,Annual,SP_OVRGHT_OBS,Share of population who are overweight or obese,_T,Total,M,Male,PT_POP,Percentage of population,SR,Self-reporting,2014,,54,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,CRI,Costa Rica,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,2014,,25.3,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,CRI,Costa Rica,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,2018,,26.9,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1975,,2.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1976,,3,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1977,,3.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1978,,3.3,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1979,,3.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1980,,3.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1981,,3.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1982,,4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1983,,4.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1984,,4.4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1985,,4.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1986,,4.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1987,,5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1988,,5.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1989,,5.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1990,,5.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1991,,5.9,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1992,,6.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1993,,6.4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1994,,6.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1995,,7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1996,,7.3,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1997,,7.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1998,,7.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,1999,,8.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,2000,,8.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,2001,,8.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,2002,,9.1,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,2003,,9.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,2004,,9.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,2005,,10.2,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_BW(1.0),Body weight,I,PER,Peru,A,Annual,SP_OBS,Share of population who are obese,_T,Total,M,Male,PT_POP,Percentage of population,MSRD,Measured,2006,,10.5,,A,Normal value,0,Units,,
